Item,ML1,ML2,ML3,ML5,ML4
E1,0.712,,,,
E2,0.708,,,,
E3,0.664,,,,
E4,0.761,,,,
E5,0.746,,,,
E6,0.613,,,,
E7,0.749,,,,
E8,0.604,,,,
E9,0.663,,,,
E10,0.694,,,,
N1,,0.707,,,
N2,,0.552,,,
N3,,0.642,,,
N4,,0.439,,,
N5,,0.52,,,
N6,,0.752,,,
N7,,0.732,,,
N8,,0.764,,,
N9,,0.717,,,
N10,,0.648,,,
A1,,,0.545,,
A2,,,0.547,,
A3,,,0.424,,
A4,,,0.82,,
A5,,,0.693,,
A6,,,0.65,,
A7,,,0.652,,
A8,,,0.63,,
A9,,,0.734,,
A10,,,0.418,,
C1,,,,0.615,
C2,,,,0.574,
C3,,,,0.411,
C4,,,,0.561,
C5,,,,0.67,
C6,,,,0.619,
C7,,,,0.607,
C8,,,,0.501,
C9,,,,0.611,
C10,,,,0.483,
O1,,,,,0.606
O2,,,,,0.548
O3,,,,,0.531
O4,,,,,0.493
O5,,,,,0.585
O6,,,,,0.501
O7,,,,,0.492
O8,,,,,0.591
O9,,,,,
O10,,,,,0.664
